customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9512-GPMMO,Male,0,Yes,No,70,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),105.12,7423.58,No
9665-TXNCB,Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.45,85.98,No
1320-ZNSWK,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,84.71,88.47,No
6572-GYRQG,Male,0,Yes,No,32,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),57.88,1872.96,No
6864-DBVQG,Female,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,27.97, ,No
2730-EANKX,Female,0,No,Yes,58,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,78.86,4603.32,No
4759-SFBOX,Female,0,Yes,Yes,13,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),72.27,952.7,No
8332-LUSWF,Male,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,95.83,2479.66,No
9673-IEZJK,Male,0,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),91.55,670.89,Yes
2270-GSSHL,Male,1,Yes,Yes,64,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.67,3560.46,No
6678-VJTYY,Male,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.37,226.82,No
5995-WTXNZ,Male,1,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.31,24.2,No
6714-GQOQV,Male,0,No,Yes,59,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,91.46,5424.28,No
8811-CVMGO,Male,1,No,No,61,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,67.03,4058.22,Yes
5370-ZHDLQ,Female,0,No,No,42,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,62.39,2672.56,No
7052-KDHWE,Male,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,95.71,930.38,Yes
2155-SSSTT,Female,0,No,No,3,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,72.43,284.62,Yes
6523-LHBMK,Female,0,No,No,8,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),77.14,669.13,No
2519-LPMXE,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,97.06,310.66,Yes
3913-XHHBQ,Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,97.91,456.32,Yes
2951-NNWVX,Female,0,No,Yes,15,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),47.93,729.77,No
4573-EHMAR,Male,0,No,No,62,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),82.21,4980.29,No
3400-URDLL,Male,0,No,Yes,3,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,66.67,153.89,No
1425-JIXVW,Female,0,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),94.19,887.6,Yes
4012-QQTIW,Male,0,Yes,Yes,30,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Mailed check,110.22,3314.39,No
1028-UZADR,Male,0,No,No,57,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,59.33,3427.26,No
1923-WMSNA,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.4,934.21,No
9753-MEBWR,Female,0,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.03,197.66,No
1651-SRJFC,Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,1065.41,No
4954-UVOVM,Female,0,No,Yes,5,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Mailed check,66.45,399.96,No
1402-CKZUZ,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.66,694.82,No
3406-ZXAEI,Male,0,No,No,44,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,71.42,3075.93,No
1636-XHDWQ,Female,0,No,No,51,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.16,3363.36,No
5634-KCNHT,Male,0,No,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),109.94,5817.54,No
8483-VOYWM,Male,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25.7,356.27,No
5097-IKJSO,Female,0,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,33.24,236.35,No
6570-JMPCU,Male,0,No,No,6,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),51.52,346.35,Yes
1207-MFUBE,Female,0,No,No,23,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,66.98,1610.09,No
8060-MQKNA,Female,0,No,No,13,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,107.95,1380.74,No
5304-NMSKC,Female,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.99,991.03,No
7871-NVXBV,Female,0,Yes,Yes,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,984.2,No
1349-VKGGS,Female,0,No,No,30,No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,67.3,2056.21,Yes
9221-CXDHM,Male,1,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,49.21,3393.07,No
5480-FKLIR,Male,0,Yes,No,71,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.26,5338.39,No
5912-WHJLX,Male,0,No,No,41,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,50.03,2028.96,No
3438-VXTTA,Male,0,No,No,24,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,67.74,1600.35,Yes
5237-CFFCX,Male,0,No,Yes,54,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),78.39,4256.57,No
4875-JYAIU,Female,1,No,Yes,32,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),48.32,1440.87,No
6419-FPVMV,Male,0,No,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.0,1382.81,No
3397-BZPWA,Male,0,No,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.83,2454.28,No
4019-LMJAI,Male,0,No,No,31,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,62.54,2028.5,No
6559-LCMKO,Male,0,No,No,52,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Electronic check,88.5,4641.8,No
4658-VPHWQ,Female,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),103.79,358.12,No
3283-MFAVY,Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,92.92,554.32,No
3767-ANBEO,Female,1,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.29,726.0,No
5072-TJEPJ,Female,1,No,Yes,68,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,62.41,4188.88,No
9172-DJURA,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.61,50.4,Yes
7303-STCNU,Female,1,No,Yes,33,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,62.65,2024.36,No
7878-FAMWJ,Male,0,No,Yes,0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,54.42, ,Yes
3485-KWSKJ,Male,0,No,Yes,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,89.24,5345.27,No
9759-OZMIE,Male,1,Yes,No,52,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,66.64,3449.77,No
1933-YBMOC,Female,0,No,No,48,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),65.63,3158.65,No
9710-IJFMB,Male,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,196.23,No
5242-EEDKC,Male,0,Yes,No,70,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,60.42,4278.1,No
6190-DKIVD,Male,0,No,No,1,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,76.19,9.16,No
1115-BPURQ,Male,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,75.57,4767.85,No
4293-FFWAN,Female,0,No,Yes,42,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),114.08,4845.5,No
1124-MOFQA,Male,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.21,2533.69,No
7392-XQWWW,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,83.47,3193.09,No
1027-FMION,Male,0,No,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,64.73,1158.44,No
8070-NQPEQ,Female,0,No,No,67,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),76.18,5146.7,No
4902-VUNGU,Male,0,No,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.34,3484.76,Yes
1560-YUQGG,Male,0,Yes,No,53,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,74.6,3951.79,No
4503-WQGDG,Male,0,No,Yes,26,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,100.28,2594.72,No
1960-OSAJD,Female,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.26,849.08,No
7654-OVRUU,Female,0,Yes,No,16,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,85.61,1404.84,No
1955-RFDNB,Female,1,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,82.23,1199.8,Yes
3581-ZYJWO,Male,0,No,Yes,48,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),71.19,3397.28,No
3964-CBEKN,Female,0,No,No,34,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),57.88,1923.84,No
8145-ZYKIO,Female,0,Yes,No,26,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,58.61,1568.35,No
7594-ATVFK,Female,0,No,No,0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,56.23, ,Yes
2424-TBLSI,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.83,2066.26,Yes
2519-TCCRY,Male,0,No,No,36,No,No phone service,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,70.18,2461.51,No
4677-LFQCA,Male,0,No,No,1,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),67.11,57.64,No
8231-SURLG,Female,1,No,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,1287.18,No
9327-NVONN,Male,0,Yes,No,30,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),110.76,3239.71,No
2508-PBPHB,Male,0,Yes,Yes,61,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.09,3075.68,No
3090-JQYID,Male,0,No,No,0,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),70.42, ,No
2047-RNREV,Female,1,No,Yes,56,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),66.62,3728.77,No
8614-FTGHL,Male,1,No,No,1,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,69.23,78.03,No
5850-FPZHG,Female,0,No,No,65,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.73,4666.11,No
1576-BUOOP,Female,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.5,1075.53,No
2188-MVXAG,Female,0,No,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,73.47,5223.5,No
4747-LAAXM,Male,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.37,1663.74,No
8177-PDMUZ,Female,0,Yes,Yes,66,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,106.67,7048.9,No
7587-XGEER,Female,0,No,No,24,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),77.33,1824.52,No
7257-ZNFSW,Female,1,No,Yes,49,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),98.89,4854.55,No
9405-NIKCP,Male,0,Yes,No,29,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,43.74,1233.53,No
9449-JVXCO,Male,0,Yes,No,3,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,72.48,213.03,Yes
2308-GSQOG,Male,0,No,No,0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.68, ,No
5082-NZORU,Male,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.94,1506.65,No
6568-ANSXE,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),63.1,145.91,No
6197-ULOFQ,Male,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,89.1,1121.13,Yes
9924-IPXIB,Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,67.69,3563.75,No
6154-SGVPF,Female,0,Yes,Yes,54,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,50.0,2707.25,No
6372-PSFJW,Male,0,No,No,6,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,65.87,365.71,Yes
2070-MFQRL,Female,0,No,No,53,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),52.42,2862.38,No
2690-VTDHY,Female,0,No,No,12,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.43,811.41,No
7095-CNUCM,Male,0,Yes,Yes,3,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,53.03,132.16,No
4696-FURPY,Female,1,Yes,Yes,6,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),54.09,350.5,No
2497-VANIU,Male,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,72.02,533.13,Yes
2195-YQLYI,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,87.32,61.85,Yes
7260-UTCNJ,Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),74.08,1863.52,No
8538-PGYUD,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),33.86,2139.57,No
4441-MDBSU,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,76.75,68.55,Yes
2830-VDIDY,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,101.52,227.63,No
4947-RUIBX,Male,0,Yes,No,16,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,91.51,1468.82,Yes
5155-VFQPU,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),72.84,2784.51,No
8665-GWEHS,Female,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.51, ,Yes
3456-BNLYY,Male,0,No,No,68,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,84.73,5655.71,No
9727-EQHJG,Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),102.28,4936.02,No
7249-PTFMK,Male,0,No,No,4,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),52.46,212.36,No
2320-UNUAI,Female,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.35,597.59,No
4989-HWSBH,Male,0,Yes,Yes,42,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,105.46,4401.91,No
7625-YTDJT,Male,0,Yes,No,63,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),69.82,4439.94,No
7034-IZVEL,Female,0,No,No,30,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.97,2431.86,Yes
2550-JEDBB,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),92.46,286.54,Yes
2141-PHXEM,Male,1,No,No,1,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.91,27.86,Yes
7167-QZTRB,Female,0,Yes,No,16,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,46.4,765.18,No
3551-UCUBR,Male,1,Yes,Yes,16,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,45.13,700.74,Yes
3137-KVXWS,Female,0,Yes,No,64,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),68.85,4395.69,No
9404-NCTSU,Male,0,No,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),59.55,515.21,Yes
9922-DKYMA,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,75.77, ,No
8182-PGENQ,Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),66.45,246.52,No
3728-LPUGA,Female,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),77.7,5248.55,No
6441-ZSARU,Male,1,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,646.77,Yes
5769-XTRZB,Female,0,Yes,No,0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,56.97, ,Yes
6378-PRXUN,Male,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,89.17,945.14,Yes
5643-FCTUW,Male,0,Yes,Yes,0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),96.72, ,No
5571-STMEX,Female,0,No,Yes,6,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,72.62,499.74,No
1027-LLJKO,Male,0,Yes,No,29,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.88,1596.44,Yes
3019-VBQPE,Female,0,No,No,70,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),80.25,5569.33,No
2204-GSYUH,Female,0,Yes,No,46,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,106.83,4943.99,No
6866-WBDRE,Male,0,No,Yes,67,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,55.45,3697.2,No
7480-SJXCG,Female,0,No,No,47,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,50.78,2358.97,No
2052-RNRVI,Male,0,Yes,No,57,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.42,4352.23,No
4030-TZDAJ,Female,0,Yes,Yes,3,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,87.38,197.95,No
8422-FVIIH,Male,0,Yes,No,69,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,60.91,4226.74,No
